epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,632.33,1.18545,0.94691,0.31605,0.61575,0.57098,0.59308,0.30101,0.87897,0.50956,0.34149,0.000551962,0.000551962,0.000551962
2,1244.27,0.70694,0.52653,0.11037,0.64758,0.67022,0.68218,0.34532,0.76952,0.51945,0.26372,0.0010857,0.0010857,0.0010857
3,1857.51,0.68021,0.52208,0.10017,0.72198,0.64281,0.70939,0.38827,0.66383,0.52692,0.2011,0.00159743,0.00159743,0.00159743
4,2473.36,0.64438,0.51592,0.08972,0.65182,0.64964,0.68125,0.35897,0.61986,0.57536,0.21235,0.00156798,0.00156798,0.00156798
5,3089.85,0.64503,0.50607,0.08838,0.65376,0.69824,0.65742,0.34176,0.62258,0.5639,0.18548,0.00153497,0.00153497,0.00153497
6,3705.92,0.62065,0.51173,0.08353,0.73483,0.73442,0.80573,0.44953,0.59873,0.52319,0.18507,0.00150197,0.00150197,0.00150197
7,4321.99,0.6071,0.49791,0.08019,0.69186,0.72817,0.75018,0.40365,0.61477,0.52199,0.19579,0.00146896,0.00146896,0.00146896
8,4938.5,0.61375,0.49586,0.07942,0.74082,0.63061,0.72052,0.37164,0.64191,0.55333,0.19976,0.00143595,0.00143595,0.00143595
9,5553.36,0.59305,0.48551,0.07651,0.75762,0.69009,0.74712,0.4147,0.58051,0.52614,0.17363,0.00140295,0.00140295,0.00140295
10,6169.41,0.59319,0.49496,0.07573,0.74317,0.68387,0.76661,0.39999,0.65016,0.50557,0.21442,0.00136994,0.00136994,0.00136994
11,6782.51,0.58813,0.48292,0.07559,0.76581,0.70126,0.74249,0.39426,0.61897,0.55841,0.18967,0.00133693,0.00133693,0.00133693
12,7398.24,0.58852,0.49452,0.07891,0.6811,0.64493,0.71208,0.39423,0.66673,0.53445,0.2155,0.00130393,0.00130393,0.00130393
13,8014.95,0.59735,0.49311,0.0762,0.63893,0.65874,0.72465,0.39495,0.60554,0.56241,0.202,0.00127092,0.00127092,0.00127092
14,8629.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00123791,0.00123791,0.00123791
15,9842.6,0.57351,0.50709,0.07739,0.64118,0.65796,0.72415,0.39365,0.60609,0.56045,0.20231,0.00120491,0.00120491,0.00120491
16,10458.4,0.56934,0.4807,0.07106,0.80465,0.71869,0.78984,0.45048,0.59897,0.50908,0.18446,0.0011719,0.0011719,0.0011719
17,11074.3,0.55268,0.46727,0.06759,0.80243,0.76029,0.81181,0.4204,0.59243,0.50182,0.1835,0.00113889,0.00113889,0.00113889
18,11689.9,0.54737,0.46775,0.06523,0.74091,0.69047,0.73526,0.37944,0.67626,0.53281,0.18862,0.00110589,0.00110589,0.00110589
19,12306.2,0.58907,0.48276,0.07351,0.66835,0.33566,0.33302,0.15224,nan,nan,nan,0.00107288,0.00107288,0.00107288
20,12922.5,0.60959,0.4994,0.0832,0.59459,0.45038,0.45345,0.20057,nan,nan,nan,0.00103987,0.00103987,0.00103987
21,13537.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00100687,0.00100687,0.00100687
22,14153,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000973861,0.000973861,0.000973861
23,14766.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000940855,0.000940855,0.000940855
24,15379.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000907848,0.000907848,0.000907848
25,15993.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000874842,0.000874842,0.000874842
26,16607,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000841835,0.000841835,0.000841835
