epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3867,1.73543,2.25225,1.25666,0.54306,0.41852,0.41754,0.21196,1.92537,1.9553,1.39371,0.000551962,0.000551962,0.000551962
2,144.629,1.85451,1.72436,1.31916,0.32971,0.32317,0.24534,0.09729,1.98538,2.20934,1.49798,0.0010857,0.0010857,0.0010857
3,203.216,1.89766,1.71402,1.33447,0.45011,0.39006,0.37876,0.19008,1.92886,2.22519,1.40945,0.00159743,0.00159743,0.00159743
4,262.731,1.8374,1.63459,1.31066,0.38127,0.44381,0.35728,0.15265,1.89182,1.68746,1.34162,0.00156798,0.00156798,0.00156798
5,322.878,1.79663,1.58816,1.27848,0.74394,0.47109,0.58578,0.31717,1.70022,1.60959,1.26558,0.00153497,0.00153497,0.00153497
6,384.333,1.74042,1.489,1.24841,0.62428,0.52821,0.57409,0.2821,1.79885,1.51363,1.28796,0.00150197,0.00150197,0.00150197
7,445.537,1.72749,1.46789,1.22506,0.56659,0.5431,0.56701,0.32985,1.65966,1.54987,1.21846,0.00146896,0.00146896,0.00146896
8,507.99,1.68029,1.41706,1.21146,0.7016,0.51123,0.62006,0.32207,1.73501,1.4536,1.23423,0.00143595,0.00143595,0.00143595
9,569.155,1.66058,1.37984,1.19638,0.68559,0.61487,0.66397,0.37556,1.62096,1.40427,1.18768,0.00140295,0.00140295,0.00140295
10,631.385,1.62853,1.3406,1.18589,0.66337,0.62072,0.67267,0.37783,1.61938,1.35703,1.20459,0.00136994,0.00136994,0.00136994
11,692.773,1.60565,1.32635,1.17972,0.6659,0.59076,0.65886,0.39455,1.62091,1.27885,1.18397,0.00133693,0.00133693,0.00133693
12,754.173,1.58805,1.30977,1.16538,0.78594,0.61817,0.71303,0.42286,1.58986,1.26544,1.16945,0.00130393,0.00130393,0.00130393
13,815.242,1.55581,1.24573,1.15254,0.72347,0.62305,0.70219,0.38713,1.57143,1.24806,1.18697,0.00127092,0.00127092,0.00127092
14,874.822,1.56634,1.2691,1.15956,0.70727,0.66915,0.73004,0.43016,1.54648,1.27488,1.15125,0.00123791,0.00123791,0.00123791
15,937.048,1.5339,1.21817,1.15009,0.64993,0.59876,0.60243,0.32665,1.63346,1.28536,1.21335,0.00120491,0.00120491,0.00120491
16,997.953,1.53003,1.19122,1.1355,0.74744,0.61394,0.67141,0.39497,1.60477,1.25449,1.17225,0.0011719,0.0011719,0.0011719
17,1059.12,1.52361,1.18405,1.12992,0.74247,0.59158,0.67864,0.3896,1.62527,1.31218,1.17702,0.00113889,0.00113889,0.00113889
18,1120.1,1.52304,1.18561,1.12504,0.73504,0.69862,0.75173,0.47623,1.51174,1.1328,1.1111,0.00110589,0.00110589,0.00110589
19,1181.53,1.49901,1.136,1.1284,0.74801,0.70177,0.77482,0.4413,1.53471,1.12428,1.12013,0.00107288,0.00107288,0.00107288
20,1242.32,1.46709,1.14345,1.109,0.73942,0.69697,0.77772,0.47452,1.48122,1.09773,1.10178,0.00103987,0.00103987,0.00103987
21,1302.36,1.48299,1.14793,1.11233,0.78441,0.70253,0.77248,0.49872,1.42092,1.07116,1.0787,0.00100687,0.00100687,0.00100687
