epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.896,2.01376,3.29032,1.15961,0.43993,0.38612,0.35401,0.15499,1.98626,2.41768,1.26065,0.000551962,0.000551962,0.000551962
2,168.338,2.17321,2.06238,1.21941,0.40173,0.4041,0.3532,0.16108,2.13106,4.71447,1.34985,0.0010857,0.0010857,0.0010857
3,237.317,2.22349,2.0773,1.22249,0.28502,0.38721,0.21672,0.11026,2.27079,3.37618,1.36741,0.00159743,0.00159743,0.00159743
4,304.381,2.1947,2.01013,1.22005,0.42918,0.4799,0.35841,0.17074,2.0467,2.10027,1.20719,0.00156798,0.00156798,0.00156798
5,372.255,2.14116,1.92443,1.19629,0.46854,0.42451,0.39912,0.19865,2.02266,1.92022,1.20965,0.00153497,0.00153497,0.00153497
6,440.127,2.11357,1.87287,1.18717,0.50346,0.458,0.40725,0.21892,2.10283,2.03272,1.24718,0.00150197,0.00150197,0.00150197
7,508.593,2.07308,1.81058,1.1609,0.56842,0.59229,0.60143,0.30078,1.912,1.75806,1.13895,0.00146896,0.00146896,0.00146896
8,576.641,2.04094,1.75122,1.13977,0.56376,0.55124,0.57561,0.34014,1.95539,1.71603,1.14931,0.00143595,0.00143595,0.00143595
9,644.487,2.04804,1.70174,1.13964,0.66111,0.6243,0.66396,0.35907,1.89681,1.61058,1.13461,0.00140295,0.00140295,0.00140295
10,712.602,1.99393,1.64001,1.12668,0.62361,0.46731,0.53317,0.31055,1.94135,1.75594,1.16987,0.00136994,0.00136994,0.00136994
11,778.549,1.98282,1.61494,1.12344,0.69419,0.532,0.6326,0.35648,1.87518,1.56135,1.12622,0.00133693,0.00133693,0.00133693
12,843.96,1.98198,1.6255,1.1164,0.66662,0.60795,0.63439,0.37749,1.85127,1.61568,1.1018,0.00130393,0.00130393,0.00130393
13,911.781,1.95486,1.56152,1.10925,0.65277,0.58799,0.65726,0.36708,1.83596,1.62733,1.11614,0.00127092,0.00127092,0.00127092
14,976.284,1.90486,1.52742,1.10027,0.67363,0.65326,0.68381,0.40877,1.8414,1.45532,1.11156,0.00123791,0.00123791,0.00123791
